OperatingDay,IrsId,RemoteId,Line,Direction,StopLat,StopLon,IrsStopCode,ArrivalTime,Duration,ScheduledArrivalTime,ScheduledDepartureTime,IsTimingPoint,DepartureTime
2019-09-02,29-675--TL-2,58040,675,1,-37.784930,145.313232,21294,2019-09-01T22:36:43Z,125,,2019-09-01T22:38:00Z,True,2019-09-01T22:38:48Z
2019-09-02,29-675--TL-2,58040,675,1,-37.782220,145.311500,14383,2019-09-01T22:39:37Z,6,2019-09-01T22:38:39Z,2019-09-01T22:38:39Z,False,2019-09-01T22:39:43Z
2019-09-02,29-675--TL-2,58040,675,1,-37.779957,145.311981,14384,2019-09-01T22:39:54Z,6,2019-09-01T22:39:10Z,2019-09-01T22:39:10Z,False,2019-09-01T22:40:01Z
2019-09-02,29-675--TL-2,58040,675,1,-37.775730,145.312790,14385,2019-09-01T22:40:28Z,7,2019-09-01T22:40:06Z,2019-09-01T22:40:06Z,False,2019-09-01T22:40:35Z
2019-09-02,29-675--TL-2,58040,675,1,-37.771680,145.313583,13440,2019-09-01T22:41:24Z,5,2019-09-01T22:41:00Z,2019-09-01T22:41:00Z,True,2019-09-01T22:41:30Z
2019-09-02,29-675--TL-2,58040,675,1,-37.768227,145.314224,13439,2019-09-01T22:41:49Z,5,2019-09-01T22:42:05Z,2019-09-01T22:42:05Z,False,2019-09-01T22:41:55Z
2019-09-02,29-675--TL-2,58040,675,1,-37.765440,145.314682,13438,2019-09-01T22:42:08Z,5,2019-09-01T22:42:57Z,2019-09-01T22:42:57Z,False,2019-09-01T22:42:14Z
2019-09-02,29-675--TL-2,58040,675,1,-37.762592,145.315186,13437,2019-09-01T22:42:29Z,7,2019-09-01T22:43:50Z,2019-09-01T22:43:50Z,False,2019-09-01T22:42:36Z
2019-09-02,29-675--TL-2,58040,675,1,-37.761790,145.314148,22431,2019-09-01T22:42:44Z,6,2019-09-01T22:44:12Z,2019-09-01T22:44:12Z,False,2019-09-01T22:42:51Z
2019-09-02,29-675--TL-2,58040,675,1,-37.761566,145.311737,14387,2019-09-01T22:43:00Z,22,2019-09-01T22:44:47Z,2019-09-01T22:44:47Z,False,2019-09-01T22:43:23Z
2019-09-02,19-675--TL-16,59205,675,2,-37.784930,145.313232,21294,2019-09-02T09:01:44Z,311,,2019-09-02T09:05:00Z,True,2019-09-02T09:06:55Z
2019-09-02,19-675--TL-16,59205,675,2,-37.782220,145.311500,14383,2019-09-02T09:10:04Z,5,2019-09-02T09:05:39Z,2019-09-02T09:05:39Z,False,2019-09-02T09:10:10Z
2019-09-02,19-675--TL-16,59205,675,2,-37.779957,145.311981,14384,2019-09-02T09:10:21Z,5,2019-09-02T09:06:10Z,2019-09-02T09:06:10Z,False,2019-09-02T09:10:27Z
2019-09-02,19-675--TL-16,59205,675,2,-37.775730,145.312790,14385,2019-09-02T09:10:52Z,6,2019-09-02T09:07:06Z,2019-09-02T09:07:06Z,False,2019-09-02T09:10:58Z
2019-09-02,19-675--TL-16,59205,675,2,-37.771680,145.313583,13440,2019-09-02T09:11:25Z,22,2019-09-02T09:08:00Z,2019-09-02T09:08:00Z,True,2019-09-02T09:11:47Z
2019-09-02,19-675--TL-16,59205,675,2,-37.768227,145.314224,13439,2019-09-02T09:12:09Z,5,2019-09-02T09:09:05Z,2019-09-02T09:09:05Z,False,2019-09-02T09:12:14Z
2019-09-02,19-675--TL-16,59205,675,2,-37.765440,145.314682,13438,2019-09-02T09:12:37Z,13,2019-09-02T09:09:57Z,2019-09-02T09:09:57Z,False,2019-09-02T09:12:51Z
2019-09-02,19-675--TL-16,59205,675,2,-37.762592,145.315186,13437,2019-09-02T09:13:14Z,6,2019-09-02T09:10:50Z,2019-09-02T09:10:50Z,False,2019-09-02T09:13:21Z
2019-09-02,19-675--TL-16,59205,675,2,-37.761790,145.314148,22431,2019-09-02T09:13:30Z,8,2019-09-02T09:11:12Z,2019-09-02T09:11:12Z,False,2019-09-02T09:13:38Z
2019-09-02,19-675--TL-16,59205,675,2,-37.761566,145.311737,14387,2019-09-02T09:13:50Z,9,2019-09-02T09:11:47Z,2019-09-02T09:11:47Z,False,2019-09-02T09:14:00Z
2019-09-02,21-675--TL-6,26522,675,2,-37.768456,145.314468,13382,2019-09-02T04:33:05Z,4,2019-09-02T04:30:08Z,2019-09-02T04:30:08Z,False,2019-09-02T04:33:10Z
2019-09-02,21-675--TL-6,26522,675,2,-37.772945,145.313583,13383,2019-09-02T04:33:38Z,12,2019-09-02T04:31:00Z,2019-09-02T04:31:00Z,True,2019-09-02T04:33:51Z
2019-09-02,21-675--TL-6,26522,675,2,-37.776520,145.312988,12760,2019-09-02T04:34:21Z,5,2019-09-02T04:32:27Z,2019-09-02T04:32:27Z,False,2019-09-02T04:34:26Z
2019-09-02,21-675--TL-6,26522,675,2,-37.780140,145.312149,12759,2019-09-02T04:34:47Z,42,2019-09-02T04:33:56Z,2019-09-02T04:33:56Z,False,2019-09-02T04:35:29Z
2019-09-02,21-675--TL-6,26522,675,2,-37.782215,145.311676,12758,2019-09-02T04:35:42Z,6,2019-09-02T04:34:47Z,2019-09-02T04:34:47Z,False,2019-09-02T04:35:49Z
2019-09-02,21-675--TL-6,26522,675,2,-37.784930,145.313232,21294,2019-09-02T04:36:43Z,0,2019-09-02T04:36:00Z,,True,2019-09-02T04:36:43Z
2019-09-02,19-675--TL-8,24874,675,2,-37.784930,145.313232,21294,2019-09-02T04:42:47Z,70,,2019-09-02T04:38:00Z,True,2019-09-02T04:43:57Z
2019-09-02,19-675--TL-8,24874,675,2,-37.782220,145.311500,14383,2019-09-02T04:46:51Z,5,2019-09-02T04:38:39Z,2019-09-02T04:38:39Z,False,2019-09-02T04:46:57Z
2019-09-02,19-675--TL-8,24874,675,2,-37.779957,145.311981,14384,2019-09-02T04:47:08Z,6,2019-09-02T04:39:10Z,2019-09-02T04:39:10Z,False,2019-09-02T04:47:14Z
2019-09-02,19-675--TL-8,24874,675,2,-37.775730,145.312790,14385,2019-09-02T04:47:45Z,10,2019-09-02T04:40:06Z,2019-09-02T04:40:06Z,False,2019-09-02T04:47:56Z
2019-09-02,19-675--TL-8,24874,675,2,-37.771680,145.313583,13440,2019-09-02T04:48:39Z,7,2019-09-02T04:41:00Z,2019-09-02T04:41:00Z,True,2019-09-02T04:48:47Z
2019-09-02,19-675--TL-8,24874,675,2,-37.768227,145.314224,13439,2019-09-02T04:49:07Z,6,2019-09-02T04:42:05Z,2019-09-02T04:42:05Z,False,2019-09-02T04:49:14Z
2019-09-02,19-675--TL-8,24874,675,2,-37.765440,145.314682,13438,2019-09-02T04:49:30Z,5,2019-09-02T04:42:57Z,2019-09-02T04:42:57Z,False,2019-09-02T04:49:36Z
2019-09-02,19-675--TL-8,24874,675,2,-37.762592,145.315186,13437,2019-09-02T04:49:51Z,7,2019-09-02T04:43:50Z,2019-09-02T04:43:50Z,False,2019-09-02T04:49:58Z
2019-09-02,19-675--TL-8,24874,675,2,-37.761790,145.314148,22431,2019-09-02T04:50:06Z,6,2019-09-02T04:44:12Z,2019-09-02T04:44:12Z,False,2019-09-02T04:50:12Z
2019-09-02,19-675--TL-8,24874,675,2,-37.761566,145.311737,14387,2019-09-02T04:50:21Z,14,2019-09-02T04:44:47Z,2019-09-02T04:44:47Z,False,2019-09-02T04:50:35Z
2019-09-02,22-675--TL-2,24923,675,1,-37.784930,145.313232,21294,2019-09-02T08:02:19Z,225,,2019-09-02T08:05:00Z,True,2019-09-02T08:06:04Z
2019-09-02,22-675--TL-2,24923,675,1,-37.782220,145.311500,14383,2019-09-02T08:09:14Z,6,2019-09-02T08:05:39Z,2019-09-02T08:05:39Z,False,2019-09-02T08:09:20Z
2019-09-02,22-675--TL-2,24923,675,1,-37.779957,145.311981,14384,2019-09-02T08:09:31Z,5,2019-09-02T08:06:10Z,2019-09-02T08:06:10Z,False,2019-09-02T08:09:37Z
2019-09-02,22-675--TL-2,24923,675,1,-37.775730,145.312790,14385,2019-09-02T08:10:05Z,6,2019-09-02T08:07:06Z,2019-09-02T08:07:06Z,False,2019-09-02T08:10:11Z
2019-09-02,22-675--TL-2,24923,675,1,-37.771680,145.313583,13440,2019-09-02T08:10:39Z,5,2019-09-02T08:08:00Z,2019-09-02T08:08:00Z,True,2019-09-02T08:10:45Z
2019-09-02,22-675--TL-2,24923,675,1,-37.768227,145.314224,13439,2019-09-02T08:11:11Z,21,2019-09-02T08:09:05Z,2019-09-02T08:09:05Z,False,2019-09-02T08:11:32Z
2019-09-02,22-675--TL-2,24923,675,1,-37.765440,145.314682,13438,2019-09-02T08:11:49Z,5,2019-09-02T08:09:57Z,2019-09-02T08:09:57Z,False,2019-09-02T08:11:54Z
2019-09-02,19-675--TL-20,25006,675,1,-37.766647,145.314636,13381,2019-09-01T21:29:48Z,45,2019-09-01T21:27:47Z,2019-09-01T21:27:47Z,False,2019-09-01T21:30:33Z
2019-09-02,19-675--TL-20,25006,675,1,-37.768456,145.314468,13382,2019-09-01T21:30:50Z,21,2019-09-01T21:28:08Z,2019-09-01T21:28:08Z,False,2019-09-01T21:31:11Z
2019-09-02,19-675--TL-20,25006,675,1,-37.772945,145.313583,13383,2019-09-01T21:31:43Z,32,2019-09-01T21:29:00Z,2019-09-01T21:29:00Z,True,2019-09-01T21:32:16Z
2019-09-02,19-675--TL-20,25006,675,1,-37.776520,145.312988,12760,2019-09-01T21:33:05Z,21,2019-09-01T21:30:27Z,2019-09-01T21:30:27Z,False,2019-09-01T21:33:26Z
2019-09-02,19-675--TL-20,25006,675,1,-37.780140,145.312149,12759,2019-09-01T21:33:47Z,26,2019-09-01T21:31:56Z,2019-09-01T21:31:56Z,False,2019-09-01T21:34:13Z
2019-09-02,19-675--TL-20,25006,675,1,-37.782215,145.311676,12758,2019-09-01T21:34:31Z,6,2019-09-01T21:32:47Z,2019-09-01T21:32:47Z,False,2019-09-01T21:34:37Z
2019-09-02,19-675--TL-24,24874,675,1,-37.766647,145.314636,13381,2019-09-02T05:03:07Z,4,2019-09-02T05:01:47Z,2019-09-02T05:01:47Z,False,2019-09-02T05:03:11Z
2019-09-02,19-675--TL-24,24874,675,1,-37.768456,145.314468,13382,2019-09-02T05:03:18Z,5,2019-09-02T05:02:08Z,2019-09-02T05:02:08Z,False,2019-09-02T05:03:24Z
2019-09-02,19-675--TL-24,24874,675,1,-37.772945,145.313583,13383,2019-09-02T05:03:52Z,76,2019-09-02T05:03:00Z,2019-09-02T05:03:00Z,True,2019-09-02T05:05:09Z
