OperatingDay,IrsId,RemoteId,Line,Direction,StopLat,StopLon,IrsStopCode,ArrivalTime,Duration,ScheduledArrivalTime,ScheduledDepartureTime,IsTimingPoint,DepartureTime
2019-09-02,28-783--TL-2,26147,783,1,-38.144695,145.124069,21208,2019-09-02T00:25:29Z,20,,2019-09-02T00:24:00Z,True,2019-09-02T00:25:49Z
2019-09-02,28-783--TL-2,26147,783,1,-38.146526,145.123200,12395,2019-09-02T00:26:21Z,11,2019-09-02T00:24:23Z,2019-09-02T00:24:23Z,False,2019-09-02T00:26:33Z
2019-09-02,28-783--TL-2,26147,783,1,-38.150543,145.130341,21697,2019-09-02T00:27:37Z,31,2019-09-02T00:25:46Z,2019-09-02T00:25:46Z,False,2019-09-02T00:28:09Z
2019-09-02,28-783--TL-2,26147,783,1,-38.152798,145.132385,11131,2019-09-02T00:28:27Z,11,2019-09-02T00:26:19Z,2019-09-02T00:26:19Z,False,2019-09-02T00:28:38Z
2019-09-02,28-783--TL-2,26147,783,1,-38.154343,145.134100,11132,2019-09-02T00:30:04Z,24,2019-09-02T00:26:44Z,2019-09-02T00:26:44Z,False,2019-09-02T00:30:29Z
2019-09-02,28-783--TL-2,26147,783,1,-38.166103,145.137500,12598,2019-09-02T00:32:05Z,16,2019-09-02T00:29:09Z,2019-09-02T00:29:09Z,False,2019-09-02T00:32:22Z
2019-09-02,28-783--TL-2,26147,783,1,-38.171673,145.139175,12009,2019-09-02T00:33:04Z,5,2019-09-02T00:30:17Z,2019-09-02T00:30:17Z,False,2019-09-02T00:33:10Z
2019-09-02,28-783--TL-2,26147,783,1,-38.174488,145.139465,12600,2019-09-02T00:33:23Z,4,2019-09-02T00:30:51Z,2019-09-02T00:30:51Z,False,2019-09-02T00:33:28Z
2019-09-02,28-783--TL-2,26147,783,1,-38.180386,145.139618,12601,2019-09-02T00:33:57Z,4,2019-09-02T00:32:02Z,2019-09-02T00:32:02Z,False,2019-09-02T00:34:01Z
2019-09-02,28-783--TL-2,26147,783,1,-38.183487,145.141449,12770,2019-09-02T00:34:27Z,21,2019-09-02T00:32:43Z,2019-09-02T00:32:43Z,False,2019-09-02T00:34:48Z
2019-09-02,28-783--TL-2,26147,783,1,-38.186350,145.143524,13135,2019-09-02T00:35:03Z,4,2019-09-02T00:33:23Z,2019-09-02T00:33:23Z,False,2019-09-02T00:35:08Z
2019-09-02,28-783--TL-2,26147,783,1,-38.193520,145.147949,13136,2019-09-02T00:35:45Z,6,2019-09-02T00:34:58Z,2019-09-02T00:34:58Z,False,2019-09-02T00:35:52Z
2019-09-02,28-783--TL-2,26147,783,1,-38.198116,145.150742,13137,2019-09-02T00:37:00Z,6,2019-09-02T00:36:00Z,2019-09-02T00:36:00Z,True,2019-09-02T00:37:07Z
2019-09-02,28-783--TL-2,26147,783,1,-38.208620,145.157974,13138,2019-09-02T00:38:34Z,4,2019-09-02T00:38:20Z,2019-09-02T00:38:20Z,False,2019-09-02T00:38:38Z
2019-09-02,28-783--TL-2,26147,783,1,-38.220993,145.157349,13139,2019-09-02T00:40:01Z,7,2019-09-02T00:40:46Z,2019-09-02T00:40:46Z,False,2019-09-02T00:40:08Z
2019-09-02,28-783--TL-2,26147,783,1,-38.221970,145.163910,13140,2019-09-02T00:40:39Z,7,2019-09-02T00:41:48Z,2019-09-02T00:41:48Z,False,2019-09-02T00:40:46Z
2019-09-02,28-783--TL-2,26147,783,1,-38.222910,145.170166,13141,2019-09-02T00:41:31Z,21,2019-09-02T00:42:47Z,2019-09-02T00:42:47Z,False,2019-09-02T00:41:52Z
2019-09-02,28-783--TL-2,26147,783,1,-38.223415,145.172318,12091,2019-09-02T00:42:08Z,11,2019-09-02T00:43:08Z,2019-09-02T00:43:08Z,False,2019-09-02T00:42:19Z
2019-09-02,28-783--TL-2,26147,783,1,-38.225450,145.177246,40282,2019-09-02T00:43:15Z,75,2019-09-02T00:44:00Z,2019-09-02T00:44:00Z,True,2019-09-02T00:44:31Z
2019-09-02,28-783--TL-2,26147,783,1,-38.231520,145.182922,14067,2019-09-02T00:45:25Z,32,2019-09-02T00:44:59Z,2019-09-02T00:44:59Z,False,2019-09-02T00:45:58Z
2019-09-02,28-783--TL-2,26147,783,1,-38.235928,145.187073,14068,2019-09-02T00:46:37Z,4,2019-09-02T00:45:42Z,2019-09-02T00:45:42Z,False,2019-09-02T00:46:42Z
2019-09-02,28-783--TL-2,26147,783,1,-38.256767,145.189880,12090,2019-09-02T00:48:39Z,5,2019-09-02T00:48:26Z,2019-09-02T00:48:26Z,False,2019-09-02T00:48:44Z
2019-09-02,28-783--TL-2,26147,783,1,-38.261032,145.189880,12089,2019-09-02T00:49:08Z,5,2019-09-02T00:49:00Z,2019-09-02T00:49:00Z,True,2019-09-02T00:49:14Z
2019-09-02,28-783--TL-2,26147,783,1,-38.265133,145.189835,47114,2019-09-02T00:49:35Z,4,2019-09-02T00:49:45Z,2019-09-02T00:49:45Z,False,2019-09-02T00:49:40Z
2019-09-02,28-783--TL-2,26147,783,1,-38.287655,145.189514,13149,2019-09-02T00:51:54Z,5,2019-09-02T00:53:54Z,2019-09-02T00:53:54Z,False,2019-09-02T00:51:59Z
2019-09-02,28-783--TL-2,26147,783,1,-38.296210,145.189957,13150,2019-09-02T00:53:05Z,4,2019-09-02T00:55:29Z,2019-09-02T00:55:29Z,False,2019-09-02T00:53:10Z
2019-09-02,28-783--TL-2,26147,783,1,-38.299957,145.190140,13151,2019-09-02T00:53:44Z,11,2019-09-02T00:56:11Z,2019-09-02T00:56:11Z,False,2019-09-02T00:53:55Z
2019-09-02,28-783--TL-2,26147,783,1,-38.299880,145.184769,12087,2019-09-02T00:54:31Z,8,2019-09-02T00:56:58Z,2019-09-02T00:56:58Z,False,2019-09-02T00:54:39Z
2019-09-02,28-783--TL-2,26147,783,1,-38.299904,145.176788,13592,2019-09-02T00:55:23Z,25,2019-09-02T00:58:07Z,2019-09-02T00:58:07Z,False,2019-09-02T00:55:48Z
2019-09-02,28-783--TL-2,26147,783,1,-38.299072,145.173828,12127,2019-09-02T00:56:29Z,18,2019-09-02T00:58:35Z,2019-09-02T00:58:35Z,False,2019-09-02T00:56:48Z
2019-09-02,28-783--TL-2,26147,783,1,-38.297047,145.172287,12128,2019-09-02T00:57:28Z,24,2019-09-02T00:59:01Z,2019-09-02T00:59:01Z,False,2019-09-02T00:57:53Z
2019-09-02,28-783--TL-2,26147,783,1,-38.293644,145.173615,12129,2019-09-02T00:58:30Z,12,2019-09-02T00:59:40Z,2019-09-02T00:59:40Z,False,2019-09-02T00:58:42Z
2019-09-02,28-783--TL-2,26147,783,1,-38.295788,145.176400,12130,2019-09-02T00:59:16Z,7,2019-09-02T01:00:14Z,2019-09-02T01:00:14Z,False,2019-09-02T00:59:23Z
2019-09-02,28-783--TL-2,26147,783,1,-38.299560,145.174469,13593,2019-09-02T01:00:09Z,52,2019-09-02T01:01:00Z,2019-09-02T01:01:00Z,True,2019-09-02T01:01:01Z
2019-09-02,28-783--TL-2,26147,783,1,-38.300297,145.189880,14761,2019-09-02T01:03:06Z,8,2019-09-02T01:04:10Z,2019-09-02T01:04:10Z,False,2019-09-02T01:03:14Z
2019-09-02,28-783--TL-2,26147,783,1,-38.303555,145.190500,13152,2019-09-02T01:03:44Z,27,2019-09-02T01:05:02Z,2019-09-02T01:05:02Z,False,2019-09-02T01:04:11Z
2019-09-02,28-783--TL-2,26147,783,1,-38.307040,145.192078,13265,2019-09-02T01:05:23Z,0,2019-09-02T01:06:00Z,,True,2019-09-02T01:05:23Z
2019-09-02,28-783--TL-12,26147,783,2,-38.307040,145.192078,13265,2019-09-02T01:09:28Z,45,,2019-09-02T01:10:00Z,True,2019-09-02T01:10:13Z
2019-09-02,28-783--TL-12,26147,783,2,-38.303562,145.190430,13266,2019-09-02T01:11:15Z,11,2019-09-02T01:10:33Z,2019-09-02T01:10:33Z,False,2019-09-02T01:11:27Z
2019-09-02,28-783--TL-12,26147,783,2,-38.300114,145.189713,13267,2019-09-02T01:11:54Z,16,2019-09-02T01:11:05Z,2019-09-02T01:11:05Z,False,2019-09-02T01:12:10Z
2019-09-02,28-783--TL-12,26147,783,2,-38.299072,145.173828,12127,2019-09-02T01:14:24Z,18,2019-09-02T01:13:00Z,2019-09-02T01:13:00Z,False,2019-09-02T01:14:43Z
2019-09-02,28-783--TL-12,26147,783,2,-38.297047,145.172287,12128,2019-09-02T01:15:24Z,64,2019-09-02T01:13:22Z,2019-09-02T01:13:22Z,False,2019-09-02T01:16:29Z
2019-09-02,28-783--TL-12,26147,783,2,-38.293644,145.173615,12129,2019-09-02T01:17:04Z,30,2019-09-02T01:13:54Z,2019-09-02T01:13:54Z,False,2019-09-02T01:17:35Z
2019-09-02,28-783--TL-12,26147,783,2,-38.295788,145.176400,12130,2019-09-02T01:18:09Z,10,2019-09-02T01:14:22Z,2019-09-02T01:14:22Z,False,2019-09-02T01:18:19Z
2019-09-02,28-783--TL-12,26147,783,2,-38.299560,145.174469,13593,2019-09-02T01:19:03Z,21,2019-09-02T01:15:00Z,2019-09-02T01:15:00Z,True,2019-09-02T01:19:24Z
2019-09-02,28-783--TL-12,26147,783,2,-38.299927,145.176590,13594,2019-09-02T01:19:41Z,27,2019-09-02T01:15:24Z,2019-09-02T01:15:24Z,False,2019-09-02T01:20:09Z
2019-09-02,28-783--TL-12,26147,783,2,-38.299830,145.185135,13595,2019-09-02T01:21:01Z,9,2019-09-02T01:16:59Z,2019-09-02T01:16:59Z,False,2019-09-02T01:21:11Z
2019-09-02,28-783--TL-12,26147,783,2,-38.299830,145.190300,13596,2019-09-02T01:21:49Z,14,2019-09-02T01:17:57Z,2019-09-02T01:17:57Z,False,2019-09-02T01:22:04Z
2019-09-02,28-783--TL-12,26147,783,2,-38.295773,145.189957,13597,2019-09-02T01:22:36Z,4,2019-09-02T01:18:55Z,2019-09-02T01:18:55Z,False,2019-09-02T01:22:41Z
2019-09-02,28-783--TL-12,26147,783,2,-38.287970,145.189600,13598,2019-09-02T01:23:30Z,31,2019-09-02T01:20:46Z,2019-09-02T01:20:46Z,False,2019-09-02T01:24:01Z
2019-09-02,28-783--TL-12,26147,783,2,-38.264896,145.189651,47115,2019-09-02T01:26:26Z,5,2019-09-02T01:26:13Z,2019-09-02T01:26:13Z,False,2019-09-02T01:26:31Z
2019-09-02,28-783--TL-12,26147,783,2,-38.261604,145.189600,13599,2019-09-02T01:26:52Z,27,2019-09-02T01:27:00Z,2019-09-02T01:27:00Z,True,2019-09-02T01:27:20Z
2019-09-02,28-783--TL-6,26531,783,1,-38.144695,145.124069,21208,2019-09-02T04:25:04Z,14,,2019-09-02T04:24:00Z,True,2019-09-02T04:25:18Z
2019-09-02,28-783--TL-6,26531,783,1,-38.146526,145.123200,12395,2019-09-02T04:25:56Z,13,2019-09-02T04:24:23Z,2019-09-02T04:24:23Z,False,2019-09-02T04:26:09Z
2019-09-02,28-783--TL-6,26531,783,1,-38.150543,145.130341,21697,2019-09-02T04:28:18Z,38,2019-09-02T04:25:46Z,2019-09-02T04:25:46Z,False,2019-09-02T04:28:56Z
2019-09-02,28-783--TL-6,26531,783,1,-38.152798,145.132385,11131,2019-09-02T04:29:19Z,12,2019-09-02T04:26:19Z,2019-09-02T04:26:19Z,False,2019-09-02T04:29:31Z
2019-09-02,28-783--TL-6,26531,783,1,-38.154343,145.134100,11132,2019-09-02T04:30:48Z,20,2019-09-02T04:26:44Z,2019-09-02T04:26:44Z,False,2019-09-02T04:31:09Z
2019-09-02,28-783--TL-6,26531,783,1,-38.166103,145.137500,12598,2019-09-02T04:33:15Z,20,2019-09-02T04:29:09Z,2019-09-02T04:29:09Z,False,2019-09-02T04:33:35Z
2019-09-02,28-783--TL-6,26531,783,1,-38.171673,145.139175,12009,2019-09-02T04:34:22Z,24,2019-09-02T04:30:17Z,2019-09-02T04:30:17Z,False,2019-09-02T04:34:47Z
2019-09-02,28-783--TL-6,26531,783,1,-38.174488,145.139465,12600,2019-09-02T04:35:34Z,25,2019-09-02T04:30:51Z,2019-09-02T04:30:51Z,False,2019-09-02T04:36:00Z
2019-09-02,28-783--TL-6,26531,783,1,-38.180386,145.139618,12601,2019-09-02T04:36:36Z,4,2019-09-02T04:32:02Z,2019-09-02T04:32:02Z,False,2019-09-02T04:36:40Z
2019-09-02,28-783--TL-6,26531,783,1,-38.183487,145.141449,12770,2019-09-02T04:37:02Z,23,2019-09-02T04:32:43Z,2019-09-02T04:32:43Z,False,2019-09-02T04:37:25Z
2019-09-02,28-783--TL-6,26531,783,1,-38.186350,145.143524,13135,2019-09-02T04:37:43Z,4,2019-09-02T04:33:23Z,2019-09-02T04:33:23Z,False,2019-09-02T04:37:47Z
2019-09-02,28-783--TL-6,26531,783,1,-38.193520,145.147949,13136,2019-09-02T04:38:26Z,22,2019-09-02T04:34:58Z,2019-09-02T04:34:58Z,False,2019-09-02T04:38:49Z
2019-09-02,28-783--TL-6,26531,783,1,-38.198116,145.150742,13137,2019-09-02T04:40:13Z,5,2019-09-02T04:36:00Z,2019-09-02T04:36:00Z,True,2019-09-02T04:40:19Z
2019-09-02,28-783--TL-6,26531,783,1,-38.208620,145.157974,13138,2019-09-02T04:41:46Z,4,2019-09-02T04:38:20Z,2019-09-02T04:38:20Z,False,2019-09-02T04:41:51Z
