OperatingDay,IrsId,RemoteId,Line,Direction,StopLat,StopLon,IrsStopCode,ArrivalTime,Duration,ScheduledArrivalTime,ScheduledDepartureTime,IsTimingPoint,DepartureTime
2019-09-02,53-403--TL-18,26239,403,2,-37.801100,144.902161,48026,2019-09-01T23:08:41Z,49,,2019-09-01T23:05:00Z,True,2019-09-01T23:09:30Z
2019-09-02,53-403--TL-18,26239,403,2,-37.799484,144.955750,7587,2019-09-01T23:25:16Z,35,2019-09-01T23:20:00Z,2019-09-01T23:20:00Z,True,2019-09-01T23:25:51Z
2019-09-02,53-403--TL-18,26239,403,2,-37.802040,144.960358,51570,2019-09-01T23:27:16Z,0,2019-09-01T23:25:00Z,,True,2019-09-01T23:27:16Z
2019-09-02,53-403--TL-1,26239,403,1,-37.802040,144.960358,51570,2019-09-01T23:27:31Z,39,,2019-09-01T23:26:00Z,True,2019-09-01T23:28:10Z
2019-09-02,53-403--TL-1,26239,403,1,-37.801100,144.902161,48026,2019-09-01T23:44:53Z,0,2019-09-01T23:42:00Z,,True,2019-09-01T23:44:53Z
2019-09-02,53-403--TL-20,26239,403,2,-37.801100,144.902161,48026,2019-09-01T23:45:00Z,79,,2019-09-01T23:46:00Z,True,2019-09-01T23:46:19Z
2019-09-02,53-403--TL-20,26239,403,2,-37.799484,144.955750,7587,2019-09-01T23:56:41Z,83,2019-09-02T00:01:00Z,2019-09-02T00:01:00Z,True,2019-09-01T23:58:04Z
2019-09-02,53-403--TL-20,26239,403,2,-37.802040,144.960358,51570,2019-09-02T00:01:52Z,0,2019-09-02T00:06:00Z,,True,2019-09-02T00:01:52Z
2019-09-02,53-403--TL-3,26239,403,1,-37.801100,144.902161,48026,2019-09-02T00:25:08Z,0,2019-09-02T00:23:00Z,,True,2019-09-02T00:25:08Z
2019-09-02,53-403--TL-22,26239,403,2,-37.801100,144.902161,48026,2019-09-02T00:25:19Z,35,,2019-09-02T00:26:00Z,True,2019-09-02T00:25:54Z
2019-09-02,53-403--TL-22,26239,403,2,-37.799484,144.955750,7587,2019-09-02T00:38:40Z,51,2019-09-02T00:41:00Z,2019-09-02T00:41:00Z,True,2019-09-02T00:39:31Z
2019-09-02,53-403--TL-22,26239,403,2,-37.802040,144.960358,51570,2019-09-02T00:41:53Z,0,2019-09-02T00:46:00Z,,True,2019-09-02T00:41:53Z
2019-09-02,53-403--TL-5,26239,403,1,-37.801100,144.902161,48026,2019-09-02T00:57:15Z,0,2019-09-02T01:03:00Z,,True,2019-09-02T00:57:15Z
2019-09-02,53-403--TL-24,26239,403,2,-37.799484,144.955750,7587,2019-09-02T01:19:57Z,92,2019-09-02T01:21:00Z,2019-09-02T01:21:00Z,True,2019-09-02T01:21:30Z
2019-09-02,53-403--TL-24,26239,403,2,-37.802040,144.960358,51570,2019-09-02T01:24:08Z,0,2019-09-02T01:26:00Z,,True,2019-09-02T01:24:08Z
2019-09-02,53-403--TL-7,26239,403,1,-37.802040,144.960358,51570,2019-09-02T01:24:18Z,49,,2019-09-02T01:27:00Z,True,2019-09-02T01:25:07Z
